,XLF,XLF,XLI,XLI,XLRE,XLRE,AGG,AGG,SHY,SHY
,close,daily_return,close,daily_return,close,daily_return,close,daily_return,close,daily_return
timestamp,,,,,,,,,,
2018-08-22 04:00:00+00:00,28.29,-0.0028198801550934904,76.61,-0.00956690368455071,33.44,-0.006240713224368477,106.67,0.0008444361043347115,83.33,0.00024006721882119386
2018-08-23 04:00:00+00:00,28.14,-0.005302226935312793,76.39,-0.0028716877692207543,33.36,-0.0023923444976076125,106.61,-0.000562482422424293,83.32,-0.00012000480019203064
2018-08-24 04:00:00+00:00,28.23,0.0031982942430703876,76.72,0.004319937164550369,33.59,0.006894484412470092,106.73,0.0011255979739237532,83.33,0.00012001920307258551
2018-08-27 04:00:00+00:00,28.62,0.01381509032943673,77.65,0.012122002085505734,33.54,-0.0014885382554332693,106.59,-0.0013117211655579997,83.3,-0.0003600144005760919
2018-08-28 04:00:00+00:00,28.59,-0.0010482180293501786,77.53,-0.0015453960077270734,33.94,0.011926058437686349,106.39,-0.0018763486255746198,83.27,-0.00036014405762307966
2018-08-29 04:00:00+00:00,28.58,-0.00034977264777902306,77.59,0.000773893976525164,33.9,-0.0011785503830288313,106.37,-0.00018798759281879462,83.26,-0.00012009126936463055
2018-08-30 04:00:00+00:00,28.35,-0.008047585724282658,77.05,-0.006959659749967817,33.72,-0.005309734513274322,106.42,0.00047005734699623325,83.32,0.0007206341580590081
2018-08-31 04:00:00+00:00,28.33,-0.000705467372134172,77.08,0.00038935756002600463,33.86,0.004151838671411667,106.41,-9.396729937982684e-05,83.34,0.00024003840614517102
2018-09-04 04:00:00+00:00,28.47,0.004941757853865081,77.06,-0.0002594706798131341,33.55,-0.009155345540460824,106.06,-0.0032891645522037383,83.19,-0.0017998560115191076
2018-09-05 04:00:00+00:00,28.49,0.0007024938531787761,77.58,0.006747988580326991,33.76,0.0062593144560358915,106.01,-0.00047143126532145363,83.19,0.0
2018-09-06 04:00:00+00:00,28.36,-0.0045630045630045135,77.83,0.0032224800206239745,33.87,0.003258293838862558,106.19,0.0016979530232996698,83.22,0.00036062026685890203
2018-09-07 04:00:00+00:00,28.33,-0.0010578279266573176,77.59,-0.0030836438391365073,33.44,-0.012695600826690301,105.81,-0.0035784913833694088,83.13,-0.00108147080028842
